start	end	text
119720	124840	MATA在目前AI极模型研发的招人策略投入规划均没有发生变化,
124840	129800	比如即将推出的新模型在内部基准上已经追赶上了OpenAI的GPT 5.5,
129800	133960	而且在考虑与三星合作生产价值10万亿韩元的定制AI芯片,
133960	135320	并计划于9月大产,
135320	138360	而且还宣布了在加拿大新建100亿美元的数据中心,
138360	141880	同时计划将明年的计算能力翻倍至14GW。
141880	145760	所以MATA并不是这一轮行情下跌的那个背锅侠,
145760	150160	而且这家公司在过往的AI眼镜元宇宙等新方向均有长期投入的先例,
150160	151800	它的战略稳定性是比较强的,
151800	154480	虽然现在大模型做的不是顶尖,
154480	157680	但是有的博主把它解读为MATA放弃AI了,
157680	160200	说MATA不行了不代表其他模型不行,
160200	161560	这是个大错特错,
161560	165920	因为很多人没想明白MATA投入了1400亿美刀,
165920	168520	MATA不行,你行啊,如果它都不行,
168520	170920	那这对整个AI行业意味着什么,谁还投?
170960	174320	所以从竞争逻辑来看,基础模型可以阶段性的落后,
174320	177960	后面还有赶超的机会,但绝对不是放弃,更不能没有,
177960	180760	因为MATA本身是一个流量平台企业,
180760	184080	如果放弃AI和模型研发将面临丢掉流量入口的风险,
184080	186360	所以不会随意改变AI战略,
186360	187680	所以只是小题大作,
187680	192720	把扎克伯格在今年5月27日大会上提出的一个计划方案,
192720	195720	而且是尚未实施落地的预案,过度夸大,
195720	199360	MATA只是说未来有多余的算力就出租来满足融资的需要,
199360	201080	但其实现在并没有什么多余的算力,
201080	204640	未来哪怕是出租部分算力,也是为了提高GPU的利用率,
204640	209000	比如说将元宇宙时期购买的H100拿出来租来增加资产回报率,
209000	210960	而不是为了削减AI资本开支,
210960	214600	比如说今年上半年H100的租赁价格还在持续的上涨,
214600	217080	这说明下游的推理需求相当不错,
217080	219760	毕竟这是一张四年前就存在的卡,
219760	223520	所以推理阶段的需求仍然是在高速增长,并没有崩,
223520	226160	所以散户在被这些新闻标题档带着走的时候,
226160	229120	机构在关注什么,Meta改变了什么,没有改变什么,
229120	232400	Meta改变了美国算力租赁市场的格局,
232400	234560	多了一个头部云场的竞争队数,
234560	238360	那么这对美国的算力租赁价格远期有影响,
238360	242080	同时也打破了军备降速的悲观预期,
242080	245080	不仅不会降速,还会提速,没有改变什么,
245080	247440	那就是AI的下游推理需求旺盛,
247440	248960	连Meta都觉得是个好生意,
248960	250760	同时算力租赁的回报率上升,
250760	252680	Meta把她赋予的算力拿出来卖,
252680	255120	要高于她自身的业务增长速度,
255120	258080	这有利于改善财务报表,更多的融资,更大的投入。
258080	260640	那么其实以上这些改变的和没改变的,
260640	262720	都在实质上确认一件事情,
262720	266520	那就是AI目前其实已经成为了房地产的商业模式,
266520	269880	市场能否接受从互联网时代的高现金流、
269880	273040	高利润率、低杠杆的模型转向高周转、
273040	276400	高杠杆、长周期、政策敏感的商业模型。
276400	278240	以前我们都说美国为什么那么强,
278240	281080	因为脏活、累活、苦活都让东南亚给干了,
281080	283160	然后他们躺着收专利服务费,
283200	284160	赚的是轻松钱,
284160	286200	但是现在看看他们的资产负债表,
286200	288480	都在为基础设施疯狂的投入,
288480	291320	而且美国不光是这七姐妹自己在投,
291320	293400	因为涉及到了基础设施,
293400	295080	所以国家也会下场。
295080	297200	AI其实已经是美元的一部分,
297200	299520	其实这个蓄势逻辑是越来越清晰的,
299520	301040	那么和最高利益挂钩,
301040	304760	政府就成为了脆弱性最高的那几个节点上的编辑都抵者,
304760	306960	比如说提供能源的基础设施,
306960	309440	比如说提供信贷市场的伪步,
309440	312320	以及冠军型企业的股权深度绑定,
312320	313920	入股几个大模型投布公司。
313920	317800	所以这并不是美股七姐妹和我们的外卖互联网之间的斗争,
317800	320360	而是一场国家主权AI的军备竞赛,
320360	322800	所以AI的紧缺叙事仍然没有改变,
322800	324480	除非美元出现了风险,
324480	326320	那么AI短期不会直接崩盘,
326320	327880	这是大的方向还没有被改变,
327880	330240	那么在7月下旬即将开启的美股财报纪,
330240	333760	我们还会看到海外云厂商的AI资本开支表态,
333760	335440	是否会进一步的上调,
335440	337480	从这两天看到的外部催化来看,
337480	340040	仍然是强化了以上的趋势。
340040	341880	但是为什么大趋势没有改变,
341880	343560	蓄势逻辑也没有破坏,
343560	346440	但美股甚至是全球的科技市场,
346440	349000	还是经历了这么大的一个短期波动呢?
349000	352240	因为之前的瓶颈成为了现在的短板,
352240	357240	全球股市在过去乃至现在炒作的各类AI短缺环节的涨价品种,
357240	360040	其实未必是AI产业中最具科技含量,
360040	363400	所以我在开头细称各位为长涨总公总高,
363440	367440	但本质又是正在制约AI产业发展和技术迭代的瓶颈,
367440	370120	那么技术迭代的进度最终是短板理论,
370120	372360	也就是说由最短缺的环节决定。
372360	376080	那么现在因为AI短缺环节涨价品种越炒越多,
376080	378680	越多越嗨,毕竟下游的需求持续在爆发,
378680	380200	上游的供给又一下跟不上,
380200	383280	而且这些长期下跌的公司,
383280	384800	好不容易站上了风口,
384800	386480	在合机够交流的时候,
386480	388720	也各个都说自己是高端材料,
388720	390880	投入门槛高,投产时间长,
390920	393000	那量在短期内仍然是短缺的,
393000	395520	所以消化的方法只有一个,那就是涨价。
395520	398280	那么大家在吵涨价吵得不易乐乎的时候,
398280	399680	其实低估了一个风险,
399680	404000	那就是巨额投资在为非高技术的环节的价格买单,
404000	405120	而没有买到量,
405120	407000	那么实际上从经济学角度,
407000	408920	这是一种很低效的资源分配,
408920	413000	因为量的短缺可预期后续AI技术迭代将趋缓,
413000	416400	最终也会影响科技产业的投入和回报预期,
416400	420640	那么资本投下去的钱发现并没有兑现它预期中的收益率,
420640	423160	是会继续加大投入,还是会抽水呢?
423160	425800	过去的几轮行业革命和产业浪潮,
425800	427920	给我们的经验答案已经非常清晰了。
427920	431680	更别说AI上游的通胀以及被动的船岛,
431680	435720	也会加剧整体金融市场的流动性收紧预期,
435720	437160	不是都是怕美元加息吗?
437160	438760	你动不动就是涨价几倍,
438760	440320	赚着这么多泡泡的钱,
440320	443000	那通胀预期不就是带来了加息预期吗?
443000	446800	而且这些AI科技们又需要长期的融资投资,
446800	449960	借贷的利率也影响着资本投入的规模,
449960	451520	所以在上涨的时候,
451520	455640	大家可以为成长股所受益的流动性溢价而买单,
455640	458840	这是过去的降期周期带来的前多了没地去,
458840	460760	但是同样在下跌的时候,
460760	462760	也更怕流动性收紧的预期,
462760	464760	因为不光是活水减少,
464760	467760	更会影响产业本身的节奏。
467760	470560	所以上半年我们沿着主线买紧缺,
470600	473960	这个蓄势的逻辑在下半年中可能要打个问号,
473960	476000	它不一定是立马就不炒涨价了,
476000	480480	但是炒涨价的幅度和共识一定会开始有一些分歧,
480480	483680	毕竟这已经是机构最近最关注的一个矛盾问题。
483680	486000	那么如果没有办法线性外推,
486000	488720	比如说下半年涨50%,明年再涨100%,
488720	489760	后年再涨100%,
489760	490680	那还搞什么AI?
490680	492280	下游并不都是一员大头,
492280	498280	所以现在我们都是拿着二八年的需求对应二六年的供给紧缺,
498280	499960	而炒这个涨价预期,
499960	505600	那么这些品种可能要面临在股价大幅上涨反馈未来的乐观预期之后,
505600	509280	现在这些预期开始编辑变化的一个风险。
509280	510560	但是大家注意,
510560	513440	我们提示的是这种线性预期的风险,
513440	514840	巨幅涨价的风险,
514840	517880	但是编辑的变化还是值得去多看一眼的,
517880	519760	比如说为了解决你现在猛猛的涨价,
519760	520800	那我就要猛猛的扩敞,
520800	521840	那么一旦猛猛的扩敞,
521840	524400	大家就开始担心谁的新产能会率先投入,
524400	526040	投入到了以后供给被改善,
526040	526840	价格就会下降,
526920	528440	就开始提前卷这个预期,
528440	529840	所以下半年的下半场,
529840	531640	大家不光要看涨价多少,
531640	534080	也要看为什么涨价以及谁来承担,
534080	537240	以供需关系驱动的周期评涨价为例,
537240	538880	它的涨价逻辑是物以稀为贵,
538880	541200	需要花更多的钱买同样的东西,
541200	542920	那么单位成本被动弹身,
542920	546040	这种涨价会挤压下游客户的资本开支,
546040	547560	吞噬它的采购预算,
547560	549560	最终意志终端需求,
549560	552200	形成了涨价导致需求意志的担忧,
552200	553280	但是有的涨价,
553320	554400	涨价幅度并不大,
554400	557560	而且我买来了能生产出更多的生产资料,
557560	558680	能覆盖掉我的涨价,
558680	559680	还能放大我的盈利,
559680	561240	那么这部分健康的涨价,
561240	563840	而且此前因为涨价幅度并不高,
563840	566520	还没被市场过度炒作过的环节,
566520	568520	比如说扩产链条最受益的方向,
568520	569680	设备零部价材料,
569680	571520	就成为了目前机构关注度最高,
571520	573400	市场表现也最强的环节。
573400	575240	所以接下来投资AI产业链,
575240	576840	大家思考的第一性原理,
576840	578920	应该是如何让算力更大化,
578920	580480	而不是让利润最大化。
580480	581480	理解了这一点,
581480	584440	就应该不会对这两天存储的大波动感到困惑。
584440	586600	毕竟如果你现性的预期,
586600	589360	未来长时间在AI产业革命中,
589360	591960	大量利润始终会留在这些硬件层面,
591960	593720	那你等于变相的在看空AI,
593720	595520	因为便宜才能刺激更多人使用。
595520	597360	假如说现在手机价格还停留在
597360	599360	90年代两万一部的大格大的水平,
599360	600120	拉天线的那种,
600120	601400	哪还有后面的移动互联网。
601400	603320	所以为什么三星这次财报打破了
603320	605600	全球科技公司单季度营业利润的纪录,
605600	606840	这么炸裂的业绩发布后,
606840	608880	股价反而硬身还下跌了很多。
608880	610400	三星今年的营业利润
610400	612120	游望超40年的累积总和,
612120	614320	加上财力市两家韩国巨头
614320	617320	吃掉了35%的硬件产业链的利润,
617320	620760	而整个美国只吃了50%的硬件产业利润。
620760	623080	所以如果存储价格再翻倍,
623080	624760	再现性预期的涨下去,
624760	628240	那么明年韩国人赚钱要比美国硬件厂加起来都多了。
628320	630680	等于整个美国互联网大厂的资本开支
630680	634680	和全球各行业的存储税都被韩国给赚走了,
634680	637640	用常识来想,老美难接受吗?
637640	640400	所以市场下跌未必是在否定三星的业绩,
640400	643000	而是在重新定价一个更深层次的问题。
643000	644840	当供应链瓶颈赚的太多,
644840	647520	整个上下游的体系都会感到不舒服。
647520	648680	实现人工智能,
648680	651520	真正需要的是持续扩张的算力慢扭,
651520	655160	而不是让某个环节短期节流太多的现金领。
655160	657240	而且韩国人不是第一次这么干。
657240	661480	在2005年,三星和海利市就因为操纵DRAM价格认过罪,
661480	666040	海利市那年交了1亿8500万美元的罚款,是有钱科的。
666040	669440	所以现在认为内存股永远涨的小朋友,
669440	674440	我们在调研一家深受内存涨价而影响业绩的消费电子公司的时候,
674440	675760	董秘亲口跟我们说,
675760	678720	这些小朋友应该都是80后,炒股不到10年,
678720	681640	因为上一轮内存泡沫后倒闭了很多公司。
681640	684400	现在的海利市前面为什么有SK两个字母?
684400	686720	就是因为海利市是被SK给收购了。
686720	688960	还有大家看到的长信业绩报表,
688960	691800	也别忘了这是用10年的亏损换来的。
691800	693800	所以拉长看,都是周期,
693800	695920	只是我们经历的周期的位置不同。
695920	697920	哪怕产业目前没有泡沫,
697920	700240	但谁也不能说股票上没有。
700240	702480	那么韩国现在意识到这个问题没有,意识到了。
702480	703920	因为这样坐地起家下去,
703920	705840	最后刀可能要落到自己头上。
705840	709240	所以6月29日在国家大跃签的报告会上,
709240	713800	三星和海利市各自抛出了千万亿韩元级别的国内投资。
713880	716960	10年2000万亿总额的投资规模,
716960	719240	约合于1.3万亿美元。
719240	722040	而且年化来看,每年1300亿美元的投入,
722040	727440	相当于25年全球经援厂资本开支的百分之百以上。
727440	730040	但是其中投资计划包含了AI数据中心、
730040	733280	显示、电池、机器人等非半导体板块。
733280	736080	而且半导体内部也含有土地、厂房、电网、
736080	737560	工业用水这些基建投入。
737560	741320	那么实际落到这些半导体设备的比例,
741320	744840	预计会低于传统半导体资本开支设备中70%的官员。
744840	746600	但是我们就按50%来算,
746600	749000	这也是一轮史无前例的扩产潮。
749000	752440	不光对韩国、对全球半导体产业都有深远的影响。
752440	754040	同时美国那边也没闲着,
754040	756320	今晚美光也上调了美国投资计划,
756320	757720	提升到了2500亿美元,
757720	759880	40%的DIYM产能在美生产。
759880	762360	那么带来的就是美股的这些设备企业、
762360	764360	零部件企业、材料企业集体的反叛。
764360	766040	那么本轮存储的周期,
766040	768280	韩国赚到了史上最高利润后,
768280	770600	将利润投向了AI数据中心与金园厂。
770600	771720	用存储赚的钱,
771720	774760	把存储端的需求端和供给端同时做大。
774760	777000	大家可以看到里面布局了下一阶段的方向。
777000	779880	还有极其人想把行业的景气度做一个自我强化。
779880	781640	而且在李在铭的主导之下,
781640	784920	大家可以看出来这个扩产不仅是企业自身的规划,
784920	786520	更是一个政治任务。
786520	790120	韩国的半导体在类计划经济里的属性暴增,
790120	791160	政府为了国家利益,
791160	794440	也为了自身的政治筹码直接下场来定扩产。
794440	796920	那么在中美韩的AI博业里,
796920	798440	产能就是筹码,
798440	801640	就是解决我们上面讲到的这些短期紧缺,
801640	804040	疯狂涨价的产业瓶颈的经药史,
804040	807000	甚至扩产已经不完全由商业回报决定,
807000	808600	而是由国家利益决定。
808600	810680	毕竟谁扩的早,谁扩的大,
810680	813240	谁更掌握产业的话语权和全球供应链。
813240	814600	我比你先扩出来了,
814600	815720	我先赚更多的利润。
815720	817240	等产业的下行周期来了,
817320	818680	你可能就不想投那么多了。
818680	820440	那么再到下一个上行周期的时候,
820440	821640	我就是摇摇领先了。
821640	824920	所以这不光是一场投产,更是一场赛跑。
824920	826440	相信这些扩产的速度,
826440	830920	绝对比大家以往看到的历史经验要来得更快,更猛。
830920	833560	毕竟存储这个行业从美国主导,
833560	835640	再到日本,再到现在的韩国,
835640	837800	未来是要靠谁,肯定是要靠我们。
837800	838920	越来越多的扩产,
838920	840520	意味着行业会越来越绝,
840520	844200	也意味着行业的投资预期会变得越来越偏向周期属性,
844280	847000	也意味着越往常看,越不会紧缺。
847000	850200	当前我们国产存储,两大巨头,长存和长薪。
850200	852120	长薪主要负责DIYM的产能,
852120	854360	当前的越产能在30万片左右。
854360	856280	长存主要负责耐德产能,
856280	858280	当前产能在20万片每月左右。
858280	860120	加总50万片每月的产能,
860120	862440	现在只占全球10%,
862440	864200	而如果以远期目标来看,
864200	867400	我们大陆存储需求占全球约30%,
867400	869240	这就是有三倍的扩产空间。
869240	871480	再加上行业三到五年以后,
871480	872840	还有翻倍的需求增长,
872840	875880	那么整体的扩产空间可以达到6倍左右。
875880	878200	所以按照实现我们的目标的进度来看,
878200	880360	接下来国内的投资力度和速度
880360	881880	会远高于韩国水平,
881880	884360	而且别忘了我们还有举国体制的优势。
884360	885480	别人只能上白板,
885480	887400	我们可以两班岛,甚至三班岛,
887400	889240	讲到让我自己不许笑,
889240	890280	这是我们的优势。
890280	891960	别人只能土地招标,
891960	892920	入场平整,
892920	893560	盖厂房,
893560	894440	盖洁京市,
894440	895080	采购设备,
895080	896680	我们可以两三个步骤一起干,
896680	899160	别忘了我们是能12天盖好一座医院的,
899160	900600	但是也没那么夸张,
900600	904440	因为全球的半导体先进制程的产能是有瓶颈存在的,
904440	905480	比如说捷径室,
905480	906440	比如说光刻机,
906440	909080	海外从规划到产的落地最少要两年以上,
909080	912680	但是国内厂商最快可以压缩到15个月,
912680	914440	也就是与我们上面所说的非常规手段,
914440	915240	多错并举。
915240	917640	而且韩国是10年的投入,
917640	920200	它中间加了一个政权迭代的周期,
920200	922200	还面临政策的延续性问题,
922200	923240	我们不会有这个问题,
923240	925080	我们会让韩国知道什么叫
925080	926600	凡是高科技的产业,
926600	927720	只要中国能量产的,
927800	928680	统统可以摆菜价,
928680	930920	那么速度和规模上不输韩国,
930920	932440	金额上就更不会了。
932440	933480	从线性来看,
933480	936760	韩国的年均投资大概是在4.5千亿人民币,
936760	939160	而目前26年我国的半导体设备,
939160	941960	从逻辑芯片加存储芯片的总资本开支,
941960	944280	预期也仅仅是3000亿人民币,
944280	946360	是远低于韩国的存储投资额的,
946360	949480	所以我们要在速度规模上实现赶超的话,
949480	953240	接下来资本开支是会明显和加速的上修的,
953240	956360	所以大家可以看到为什么这一轮设备零部件材料,
956360	957880	长得这么凶,长得这么快。
957880	960600	之前大家在一个平稳的半导体周期的时候,
960600	963560	只会把明年的业绩打进当前的市值预期里,
963560	967480	但是有了全球的存储扩展周期浪潮和AI军备竞赛,
967480	969160	我们的逻辑芯片存储芯片,
969160	972680	都要用非常规的手段和速度实现追赶和超越,
972680	975560	所以国内的机构在按照一个终局思维,
975560	978040	也就是我们现在不光看到26年要明显增长,
978040	978920	27年要增长,
978920	979880	28年也要增长,
979880	983640	所以把未来两年甚至三年的业绩也正在提前打进预期,
983640	986200	所以你按照明年的业绩去看估值都是高估的,
986200	990440	但是按照27年28年潜在的设备订单和市场空间
990440	993720	以及国产化率的提升又好像能找到说服的理由,
993720	995640	而且这不是盲目的画笔,
995640	997080	因为往今年和明年来看,
997080	1000360	景国内头部的两家逻辑芯片代工厂,
1000360	1001720	也就是村龙和鸿虹,
1001720	1005080	再加上长存和长新两家内存芯片金元厂,
1005080	1008600	这两年加起来差不多就有近5000亿的利润,
1008680	1011880	再加上这几家公司IPO和在融资得到的钱,
1011880	1016440	而且这还不包括还有大家很多没有听过的金元代工厂和内存芯片厂,
1016440	1018600	在这由于比较敏感的信息,
1018600	1020360	我不方便给大家一一举例,
1020360	1022200	都是要猛猛扩出来这些先进制程的,
1022200	1025400	而我们上一轮21年半导体设备的建设周期,
1025400	1027480	整个下游加起来的利润才200亿,
1027480	1032200	所以对比一下这一轮我们的金元厂是史无前例的扩产资本开支,
1032200	1035000	那么对应的上游的半导体设备零部价材料,
1035000	1037080	是从来没打过这么富裕的仗,
1037160	1039080	以至于产能全部仅缺,
1039080	1044760	涨价毕竟金元厂的资本开支里70%到80%是要用作买设备,
1044760	1047960	而零部价在设备的总价值中占比又超过一半,
1047960	1051720	所以现在扩产的瓶颈不光有荷拉阿斯麦的光刻机,
1051720	1059240	因为目前荷拉阿斯麦最高级的EUV光刻机产能提升的三年增速中数只有20%到30%,
1059240	1065400	是远远不能满足全球金元厂扩产的带动设备的增速,
1065480	1069000	因为当前全球半导体前导设备的市场是1400亿美金,
1069000	1071320	而到了28年会来到3000亿美金,
1071320	1073160	年化的增速是50%,
1073160	1078040	所以像应用材料这样的公司都在紧盯着7月16日阿斯麦的业绩会,
1078040	1080760	是否会上修27年到29年的产能指引,
1080760	1084920	如果光刻机的产能释放将直接拉动全行业的设备收入增速,
1084920	1087000	这为什么你买了其他一大堆设备,
1087000	1089400	如果光刻机买不到,其他设备等于没用,
1089400	1092520	毕竟课时薄膜两检测这些品类有多加供应商,
1092600	1094120	但EUV光刻机只有一家,
1094120	1096440	那么有了EUV,装这些设备的地方又不够,
1096440	1097240	那么这个评价是什么?
1097240	1097720	捷径室,
1097720	1099960	捷径室的核心卡点是人,是师傅,
1099960	1102680	专业工人工程师服务商现在是严重不足的,
1102680	1105080	成熟的级电工人需要1-2年的经验,
1105080	1107480	成熟的工程师需要5年,最短也要3年,
1107480	1109480	而经过上一轮半导体的下行之后,
1109480	1111480	又长期没有建设需求,
1111480	1113320	缺少专业的服务商和配套能力,
1113320	1115240	再加上现在越来越高级的先进制程,
1115240	1117080	这级到了40个以上的子系统,
1117080	1118680	工艺复杂,定制化程度高,
1118680	1122120	所以这些经员厂客户只倾向与头部供应商长期绑定,
1122120	1123800	比如说台企的那几家,
1123800	1125480	大家要知道捷径室的威力,
1125480	1127320	可不是简单的一个无尘车间,
1127320	1129560	疫情的时候长存都没有停工,
1129560	1130840	就是因为有捷径室,
1130840	1132120	别说是粉尘颗粒了,
1132120	1133480	就是病毒也给你吹走,
1133480	1134960	但是现在捷径室缺人怎么办,
1134960	1135400	加价,
1135400	1137000	海外这些存储场不是具有钱吗,
1137000	1137800	加价抢单,
1137800	1140600	而国内的这些大陆背景的捷径市场上,
1140600	1144120	最高端的有的能做到一些先进封装和PCB产线,
1144120	1147480	对于这些先进制程的经员厂还是在积累经验的,
1147480	1149720	只能做一些成熟制程的捷径室,
1149720	1151760	但是好在存储这个产业,
1151760	1156640	并非需要最高级的光刻机和最顶级的捷径室,
1156640	1159840	所以这也给我们的大陆企业带来了订单外议的机会,
1159840	1163760	正好我们国产的光刻机已经量产的KRF DOV,
1163760	1170160	和正在小批量市场的竞认式DOV都能够分别满足NED和DIM的生产需求,
1170160	1174320	同时荷兰阿斯脉的亚先进制程的1980i系列光刻机,
1174320	1175600	对我们也没有完全断供,
1175600	1178920	那么再加上像华为这样的掏定利益的先进封装技术,
1178920	1181720	我们也可以实现次顶级的存储性的,
1181720	1184440	连苹果现在都在寻求导入国产存储,
1184440	1186200	这也是对我们产品力的一种验证,
1186200	1189920	所以不光常存常新的扩产规模会超大家的预期,
1189920	1191560	产品的形态也会有惊喜,
1191560	1195160	常存不仅会扩产NED,常新不仅会扩产DIM,
1195160	1199480	AI服务器价值里面现在最高的那个HBM大家都能看到,
1199480	1204320	那么买到了或者是造出来了光刻机搬到了装好的捷径室里面,
1204320	1206360	你还得采购其他的潜道设备吧,
1206360	1207680	存储场的设备开支中,
1207680	1210920	光刻机占24%,课实设备占30%,
1210920	1212960	伯伯成绩设备占17%,
1212960	1214720	李子注入设备占15%,
1214720	1216320	两检测设备约占15%,
1216320	1217920	混合建核设备只占2%,
1217920	1220600	那么现在面临着老美的设备断贡
1220600	1224120	和其他国家设备厂商配合的零部件封锁,
1224120	1227640	所以我们已经继续了几年的国产替代技术,
1227640	1229200	那么现在国产化率做到什么样了呢,
1229200	1231880	课实伯伯成绩我们已经做到了30%左右,
1231880	1233960	清洗设备已经做到了50%左右,
1233960	1236800	唯独两检测我们现在只做到了10%左右,
1236800	1240040	而且先进制成的设备供给全球格局更为集中,
1240040	1241400	美国设备的龙头,
1241400	1245600	清鞋像韩国以及中国台湾的企业进行保供,
1245600	1249000	那么大陆的很大部分程度将来都要靠自己解决,
1249000	1251080	所以现在最短板的两检测设备,
1251080	1253760	近期验证和出货的节奏也是在加速的,
1253760	1256120	而且随着国产两检测设备的加速验证,
1256120	1260320	接下来的订单放量也会带动上游的两检测设备的零部件,
1260320	1261080	开始释放业绩,
1261080	1263640	而且设备不管有钱到生产的还有后道封装的,
1263640	1265360	那么后道大家都听过封测厂,
1265360	1267680	封测厂核心两个字,封和测,
1267680	1269760	封装要设备,测试也要设备,
1269760	1272600	而且现在更先进的GPU、CPU、内存芯片,
1272600	1275000	对测试机都提出了更高的测试要求,
1275000	1276840	对量价的拉动都非常明显,
1276840	1280960	海外的测试机已经供不应求26年艾德万的产能提升了70%,
1280960	1282880	28年、29年还要提升3倍,
1282880	1285240	再加上华为的掏定率本质也是3D堆叠,
1285240	1288440	预计测试机的需求也会拉升3倍以上,
1288440	1291720	核心是在芯片堆叠之前对小芯片做全面检测,
1291720	1294080	这样大幅增加了经援测试的需求,
1294080	1297080	测试机是掏定率需求量最大的设备品内,
1297120	1300480	所以我们既然是用非摩尔卜摩尔用数量补信的,
1300480	1303240	所以将来大陆的测试设备成长性也会强于海外,
1303240	1306760	这也会带动,比如说分选机、碳针台、
1306760	1309680	测试机还有上游的碳针卡、碳针,
1309680	1311080	整个链条的通胀,
1311080	1314240	当然这都是我们已经讲过很多遍的逻辑了。
1314240	1316680	那么后道的这些测试设备主要是谁在用封测厂,
1316680	1321200	而且以前的这些传统封测厂现在在纷纷转型先进封装厂,
1321200	1322920	以后的封核测会分开,
1322960	1327640	因为先进封装所需要的资本开支比以前的传统封测要大很多,
1327640	1329200	而且价值量要相对更高,
1329200	1333520	所以大家可以看到近期以前传统的封测厂都在大幅的扩产,
1333520	1338560	总而加起来目前已经有超过300亿都在扩建先进封装的产线,
1338560	1340520	为什么他们要猛猛的扩产先进封装,
1340520	1345160	因为对于明年我们现在有每月7万片的先进封装的产能缺口,
1345160	1347960	我们大的芯片做不过别人,我们产成小芯片然后叠起来,
1347960	1350720	那么先进封装价值量和数量是不是都提升了,
1350720	1353120	而且这些先进封装的产线扩出来以后,
1353120	1354240	他们自己有的不测了,
1354240	1356320	交给外部的第三方独立测试环节,
1356320	1359400	所以给第三方独立测试厂也带来了业务弹性,
1359400	1363680	那么有了以上这些经员厂和封测厂要采购的这些设备,
1363680	1366320	那么这些设备又要向谁采购零部件呢?
1366320	1368360	那么这些设备其实也是组装厂,
1368360	1369880	他们要采购什么的零部件,
1369880	1373840	大家有没有发现全球的光模块扩产其实长得最猛的是上游的光芯片,
1373840	1378200	全球PCB扩产其实长得最猛的是上游的材料钻针,
1378200	1382440	那么全球半导体设备扩产目前长得最猛的是零部件,
1382440	1385320	这样共性的规律其实就是扩产中的瓶颈,
1385320	1387640	那么设备零部件这个瓶颈是怎么来的呢?
1387640	1391640	其实在日期、美期这些零部件的龙头厂商里,
1391640	1394640	也有像三星凯利是这样靠着技术垄断、
1394640	1398200	份额集中想赚作地起价暴力的钱的厂商里,
1398200	1402600	比如加热器、卡盘、伐门这些是直接影响设备厂商,
1402640	1405600	凉率的关键零部件赛道壁垒是非常高的,
1405600	1409520	所以无论是海外和国内都维持50%以上的毛利率水平,
1409520	1414520	所以这些环节是已经率先涨价20%甚至30%的,
1414520	1419240	但是他们的扩产幅度却只有少得可怜的5%-10%,
1419240	1423120	是远远跟不上设备厂商50%以上的订单增速的,
1423120	1425840	而且由于扩产周期要12-18个月,
1425840	1430440	过去因为半导体行业的周期没经历过这么大的需求,
1430440	1434560	所以他们的保守意愿再加上现在正靠涨价吃的盆满薄满,
1434560	1437880	所以他们没有那么强的扩产意愿甚至还会挑单做,
1437880	1440720	比如优先保障海外头部客户的产能,
1440720	1442360	无暇顾及国内设备客户,
1442360	1447040	近期我们调研就了解到日本陶瓷结构件已经通知国内某头部客户,
1447040	1449200	三季度开始交付周期将无限拉长,
1449200	1452880	包括海外真空笨真空法交期也在拉长6个月以上,
1452880	1456840	那么打破这个僵局的是谁,是我们的国产零部件,
1456840	1459000	比如说我们调研一家做法门的公司,
